,_id,id_str,content,user_loc,user_screen_name,retweet_count,fav_count,created_at,char_count,sentiment_method,sentiment
3,5ffde60d64e25f9f2612592c,1.34905611477667e+18,"If a student is missing class a bunch, their grade is going to be effected regardless, so as teachers we might as well give them grace. K-12 students get sick, and may be reliant on parents or siblings to get them to school, and attendance policies hurt underprivileged kids.","Provo, UT",avatargrace,0,0,2021-01-12 18:10:16,275,tools,negative
8,5ffdf9c180d443513a191637,1.34907726644206e+18,"@JamesTodaroMD @ConservMama17 I went to proms, a lot of hype and not that big of a deal to me anyway :-). 

My mom didn't ""home school"" me, but she was going to college to become a teacher and I was her guinea pig.  I a experienced same ability to think and to TEACH MYSELF anything I needed to learn.  HUGE!",Mountains of California,AudreyJeanne,0,0,2021-01-12 19:34:19,308,tools,positive
9,5ffdfcbbed845d2d2c79e966,1.34908046404532e+18,Last weeks blog by @RachelJTeaches provides an additional five ways to help you engage with your #k12. Great tips to add to the #TipTuesday @caselorg list. #relationshipsmatter https://t.co/N5mCBOjNJx,"Arlington, VA",intellispark,0,0,2021-01-12 19:47:01,200,tools,positive
10,5ffe080e98c32f915e24db4b,1.34909262262797e+18,"All scholars can achieve academic #success! Our master educators apply a holistic approach to adapting, designing, and delivering personalized instruction. We offer #virtual and live educational coaching in all subjects. Let's chat: 720. 600.4465 #Denver #K12 #Education 👩‍🏫🧑‍🎓🏆 https://t.co/pFqrH03DUh","Denver, CO",PolyEDNetwork,0,0,2021-01-12 20:35:20,302,tools,positive
11,5ffe0f4698c32f915e24db4d,1.34910037475452e+18,"Community Connections: A Focus on Emotional Health &amp; Well-Being

CCS families are invited to connect with our local mental health and resource providers. Attend the Virtual Provider Fair from 6 to 7 p.m. on Jan. 14th. 

Here is the direct hyperlink: 
https://t.co/zeWWncrdWh","Concord, NC",WolfMeadowElem,0,0,2021-01-12 21:06:09,278,tools,positive
12,5ffe1286b9d79b051b531aab,1.34910386648324e+18,"Don't miss our Virtual Visit Day tomorrow, Jan. 13 from 6 to 7:30 pm! Hear from our new Dean, Jarrod Tutor, in addition to learning about the admissions and financial aid process from our student services team. https://t.co/XCMKImYu1g","Lancaster, OH",ohiou_lancaster,0,0,2021-01-12 21:20:01,234,tools,positive
13,5ffe1340b9d79b051b531aad,1.34910464689642e+18,"Yes! Back to hybrid &amp; athletics are on! 
@WHathletics
 will be updating soon.

The video...https://t.co/5dbZYrSYHu

Student &amp; Parent Virtual Meetings with me
Getting creative for a strong, positive Spring 

Meeting link comes out tomorrow! #WHPantherPride 
@WH_Super @gmferrojr","Massachusetts, USA",DrCSJones,0,0,2021-01-12 21:23:07,285,tools,positive
14,5ffe1368b9d79b051b531aae,1.34910481356542e+18,"Our online Papers Writing services is completely dedicated to all student across the globe. For #pay essay
#research paper 
#assignment 
#lab report 
#thesis 
#dissertation 
#excel assignment 
#research proposal. Dm or email: cleanwriters9@gmail.com
WhatsApp/txt +1(505)375-1979","Texas, USA",SuperiorPro13,0,0,2021-01-12 21:23:47,278,tools,positive
15,5ffe1391b9d79b051b531aaf,1.34910498501172e+18,"The Free Application for Federal Student Aid is your key to financial aid awards, including need-based scholarships, grants, loans and federal work-study funds. Complete the application online by Feb. 1 at https://t.co/BUV543ZyFP. The school code for Miami University is 003077. https://t.co/mMOcrFEOkp","Ohio, USA",MiamiRegionals,0,0,2021-01-12 21:24:28,302,tools,positive
16,5ffe1484b9d79b051b531ab1,1.34910600431563e+18,"Read Online American Speakout, Advanced, Student Book with DVD/ROM and MP3 Audio CD -&gt; https://t.co/of4le4jNG0",New York USA,BrewerYasmmin,0,0,2021-01-12 21:28:31,113,tools,positive
