_id,id_str,content,user_loc,user_screen_name,retweet_count,fav_count,created_at
5ffde71f5e4953000d99dd55,1.34873534494719E+018,"Virtual learning has caused a fair share of frustration for many students, families, and educators, but that's not always the case. Read below to find out why some ""love virtual learning."" #virtuallearning #k12 #edchat #schoolsreopening #education 
https://t.co/tJBlecoRwm",Wisconsin,Edficiency,0,0,2021-01-11 20:55:39
5ffde71f5e4953000d99dd58,1.34870414894716E+018,"Preparing for high school is an exciting time! The SJCSD VIRTUAL High School Showcase is Tuesday, Jan 12. This event highlights special Programs of Choice available for rising 9th and 10th graders. https://t.co/xwSmzJA1zk","St. Augustine, Florida",SJCSD,0,0,2021-01-11 18:51:41
5ffde71f5e4953000d99dd59,1.3486845156408E+018,Updated list of Wi-Fi Hotspots in Accomack County - Available Wi-Fi Hotspots for virtual students. https://t.co/G7gTMtsX8F https://t.co/M7Gzs1UYha,"Oak Hall, Virginia",AMSPANTHERS,2,2,2021-01-11 17:33:40
5ffde71f5e4953000d99dd5d,1.34867168120897E+018,"The Nature-based 4K Parent Night for enrollment in the 2021-2022 school year will be virtual on Thursday, January 14 - a great opportunity for families to learn more about the West Bend School District’s community-based 4-year-old kindergarten program. https://t.co/hztQAjANyO","Newburg, WI",RiveredgeNC,0,0,2021-01-11 16:42:40
5ffde71f5e4953000d99dd5f,1.34866896314898E+018,Where have all the laptops gone? Some #K12 school districts couldn’t recover devices initially distributed for #RemoteLearning. That’s why device management matters. via @EdTech_K12 https://t.co/EBV0fXvXgu #edtech #edchat,"Connecticut, USA",daveandcori,0,0,2021-01-11 16:31:52
5ffde71f5e4953000d99dd65,1.34858085922237E+018,"Will you join me at one of the best virtual summits out there.... ⁦@sheldoneakins⁩ brings together an exciting line up of educators starting today! 
#edutwitter #equity #k12 The Art of Advocacy Virtual Summit https://t.co/NRipvIKw7t","Florida, USA",SpedTechMia,1,2,2021-01-11 10:41:46
5ffde71f5e4953000d99dd69,1.34798040850861E+018,"@evenidevilcean  The #hybridclassroom requires one foot in the virtual classroom and another in the physical. Here's a roundup of 5 solid hybrid classroom products from: @MicrosoftEDU, @SamsungEDU, @Swivl, @Logitech @LenovoEducation #ISTE20 via @EdTech_K12 https://t.co/iKbrUNQxPN","New Jersey, USA",JMilntschuk,1,3,2021-01-09 18:55:48
5ffde71f5e4953000d99dd6b,1.34794813614934E+018,Excellent story to counter the #FUD out there on sending devices home with students - Monitoring Mobile Devices in a Virtual Environment | EdTech Magazine https://t.co/olD6sdwuE6,"Minneapolis, MN",Dave_Saltmarsh,1,0,2021-01-09 16:47:33
5ffde71f5e4953000d99dd6e,1.34770716821312E+018,"MPS students enjoyed virtual winter camps over their holiday break and had the chance to meet animals and create music. #MPSProud

Read the full story at: https://t.co/7WjysKim8H https://t.co/AGyQ8kJQPk",Milwaukee,MilwaukeeMPS,0,0,2021-01-09 00:50:02
5ffde71f5e4953000d99dd6f,1.34769030723257E+018,Monitoring Mobile Devices in a Virtual Environment https://t.co/oiyzNESfo6 https://t.co/QZveXF6E5v,"Boca Raton, Florida USA",CrossTec,0,0,2021-01-08 23:43:02
