,0
0,USA
1,New Jersey
2,North Carolina
3,NOT VETTED
4,Rhode Island
5,Massachusetts
6,Florida
7,Missouri
8,Georgia
9,Tennessee
10,Texas
11,Indiana
12,Nevada
13,Utah
14,New York
15,Colorado
16,Virginia
17,Arizona
18,Kentucky
19,Maryland
20,California
21,Pennsylvania
22,Maine
23,Kansas
24,District of Columbia
25,Wisconsin
26,Illinois
27,Alabama
28,Michigan
29,Ohio
30,Iowa
31,Minnesota
32,Nebraska
33,Louisiana
34,Hawaii
35,Oregon
36,South Carolina
37,New Hampshire
38,Connecticut
39,West Virginia
40,Oklahoma
41,Washington
42,Mississippi
43,New Mexico
44,Arkansas
45,Idaho
46,Montana
47,Alaska
48,North Dakota
49,South Dakota
50,Delaware
51,Vermont
52,Wyoming
